unit procedure,sampling point,parameter name,parameter detail,mfg_site_bldg,report_site,edmq_method,run number,batch number,date of manufacture,process start,parameter date,local id,value_text(reported),value_num(recorded/full precision),uom,lal,ual,lcl,ucl,lrl,ucl,cl,nel1,nel2,nel3,nel4,ppk,rep,control_precision,action_precision,rejection_precision,scale,summary table,disposition_date,result type,source_system,ctrl_violation,action_violation,rej_violation
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010265761,0010265761,2015-12-18 00:00:00,2015-11-25 00:00:00,2015-12-18 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010265760,0010265760,2015-12-22 00:00:00,2015-12-01 00:00:00,2015-12-22 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010273958,0010273958,2016-01-27 00:00:00,2016-01-08 00:00:00,2016-01-27 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010273959,0010273959,2016-01-29 00:00:00,2016-01-08 00:00:00,2016-01-29 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010276432,0010276432,2016-02-03 00:00:00,2016-01-14 00:00:00,2016-02-03 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010276433,0010276433,2016-02-05 00:00:00,2016-01-14 00:00:00,2016-02-05 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010276434,0010276434,2016-02-10 00:00:00,2016-01-21 00:00:00,2016-02-10 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010276435,0010276435,2016-02-12 00:00:00,2016-01-20 00:00:00,2016-02-12 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010276436,0010276436,2016-02-17 00:00:00,2016-01-28 00:00:00,2016-02-17 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010276437,0010276437,2016-02-19 00:00:00,2016-01-28 00:00:00,2016-02-19 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010276438,0010276438,2016-02-24 00:00:00,2016-02-02 00:00:00,2016-02-24 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010276439,0010276439,2016-02-26 00:00:00,2016-02-02 00:00:00,2016-02-26 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010276440,0010276440,2016-03-02 00:00:00,2016-02-11 00:00:00,2016-03-02 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010276441,0010276441,2016-03-04 00:00:00,2016-02-11 00:00:00,2016-03-04 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010280751,0010280751,2016-03-09 00:00:00,2016-02-16 00:00:00,2016-03-09 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010276445,0010276445,2016-03-11 00:00:00,2016-02-16 00:00:00,2016-03-11 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010276446,0010276446,2016-03-16 00:00:00,2016-03-02 00:00:00,2016-03-16 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010276447,0010276447,2016-03-18 00:00:00,2016-02-25 00:00:00,2016-03-18 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010276448,0010276448,2016-04-01 00:00:00,2016-03-08 00:00:00,2016-04-01 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010276449,0010276449,2016-04-07 00:00:00,2016-03-15 00:00:00,2016-04-07 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010283796,0010283796,2016-04-14 00:00:00,2016-03-24 00:00:00,2016-04-14 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010283797,0010283797,2016-04-21 00:00:00,2016-04-03 00:00:00,2016-04-21 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010283798,0010283798,2016-04-28 00:00:00,2016-04-05 00:00:00,2016-04-28 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010287044,0010287044,2016-05-04 00:00:00,2016-04-12 00:00:00,2016-05-04 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010287045,0010287045,2016-05-06 00:00:00,2016-04-14 00:00:00,2016-05-06 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010287046,0010287046,2016-05-11 00:00:00,2016-04-20 00:00:00,2016-05-11 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010287047,0010287047,2016-05-13 00:00:00,2016-04-21 00:00:00,2016-05-13 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010287048,0010287048,2016-05-18 00:00:00,2016-04-30 00:00:00,2016-05-18 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010287049,0010287049,2016-05-20 00:00:00,2016-04-28 00:00:00,2016-05-20 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010287050,0010287050,2016-05-25 00:00:00,2016-05-05 00:00:00,2016-05-25 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010287051,0010287051,2016-05-27 00:00:00,2016-05-10 00:00:00,2016-05-27 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010287052,0010287052,2016-05-31 00:00:00,2016-05-25 00:00:00,2016-05-31 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010287053,0010287053,2016-06-02 00:00:00,2016-05-26 00:00:00,2016-06-02 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010288597,0010288597,2016-06-10 00:00:00,2016-05-03 00:00:00,2016-06-10 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010290459,0010290459,2016-06-16 00:00:00,2016-05-24 00:00:00,2016-06-16 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010290460,0010290460,2016-06-24 00:00:00,2016-05-24 00:00:00,2016-06-24 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010290461,0010290461,2016-06-29 00:00:00,2016-06-06 00:00:00,2016-06-29 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010295548,0010295548,2016-07-01 00:00:00,2016-06-09 00:00:00,2016-07-01 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010287054,0010287054,2016-07-08 00:00:00,2016-06-15 00:00:00,2016-07-08 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010290452,0010290452,2016-07-12 00:00:00,2016-06-26 00:00:00,2016-07-12 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010290453,0010290453,2016-08-03 00:00:00,2016-07-13 00:00:00,2016-08-03 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010290454,0010290454,2016-08-10 00:00:00,2016-07-26 00:00:00,2016-08-10 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010290455,0010290455,2016-08-12 00:00:00,2016-07-29 00:00:00,2016-08-12 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010290456,0010290456,2016-08-17 00:00:00,2016-08-01 00:00:00,2016-08-17 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010290457,0010290457,2016-08-19 00:00:00,2016-08-02 00:00:00,2016-08-19 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010301941,0010301941,2016-08-24 00:00:00,2016-08-02 00:00:00,2016-08-24 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010301942,0010301942,2016-08-26 00:00:00,2016-08-03 00:00:00,2016-08-26 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010301943,0010301943,2016-08-31 00:00:00,2016-08-09 00:00:00,2016-08-31 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010301944,0010301944,2016-09-02 00:00:00,2016-08-09 00:00:00,2016-09-02 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010301945,0010301945,2016-09-07 00:00:00,2016-08-16 00:00:00,2016-09-07 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010301946,0010301946,2016-09-09 00:00:00,2016-08-16 00:00:00,2016-09-09 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010301947,0010301947,2016-09-15 00:00:00,2016-08-23 00:00:00,2016-09-15 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010301948,0010301948,2016-09-22 00:00:00,2016-08-30 00:00:00,2016-09-22 00:00:00,.,"Clear, colorless liquid",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010301949,0010301949,2016-09-29 00:00:00,2016-09-06 00:00:00,2016-09-29 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010301950,0010301950,2016-10-06 00:00:00,2016-09-12 00:00:00,2016-10-06 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010301951,0010301951,2016-10-13 00:00:00,2016-09-20 00:00:00,2016-10-13 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010302801,0010302801,2016-10-21 00:00:00,2016-09-28 00:00:00,2016-10-21 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010302802,0010302802,2016-10-27 00:00:00,2016-10-09 00:00:00,2016-10-27 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010302803,0010302803,2016-11-04 00:00:00,2016-10-11 00:00:00,2016-11-04 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010302804,0010302804,2016-11-10 00:00:00,2016-10-24 00:00:00,2016-11-10 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010302806,0010302806,2016-11-17 00:00:00,2016-10-27 00:00:00,2016-11-17 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010302805,0010302805,2016-11-22 00:00:00,2016-11-01 00:00:00,2016-11-22 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010309809,0010309809,2016-11-30 00:00:00,2016-11-14 00:00:00,2016-11-30 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010309810,0010309810,2016-12-02 00:00:00,2016-11-17 00:00:00,2016-12-02 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010309811,0010309811,2016-12-08 00:00:00,2016-11-17 00:00:00,2016-12-08 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010309812,0010309812,2016-12-15 00:00:00,2016-11-23 00:00:00,2016-12-15 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010317527,0010317527,2016-12-17 00:00:00,2016-12-17 00:00:00,2016-12-17 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010318219,0010318219,2016-12-20 00:00:00,2016-12-13 00:00:00,2016-12-20 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010319888,0010319888,2017-01-29 00:00:00,2017-01-12 00:00:00,2017-01-29 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010319889,0010319889,2017-01-31 00:00:00,2017-01-13 00:00:00,2017-01-31 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010319890,0010319890,2017-02-03 00:00:00,2017-01-16 00:00:00,2017-02-03 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010319891,0010319891,2017-02-09 00:00:00,2017-01-18 00:00:00,2017-02-09 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010319892,0010319892,2017-02-16 00:00:00,2017-01-24 00:00:00,2017-02-16 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010319893,0010319893,2017-02-22 00:00:00,2017-01-31 00:00:00,2017-02-22 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010319894,0010319894,2017-02-24 00:00:00,2017-02-02 00:00:00,2017-02-24 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
PRJU:APR7-DS-AML,.,Appearance,PRDS-001009,PRJU:APR7,AML,MET-000286,0010319895,0010319895,2017-03-02 00:00:00,2017-02-08 00:00:00,2017-03-02 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
